"Time","emqx"
2025-01-07 02:43:00,0.162
2025-01-07 02:44:00,0.329
2025-01-07 02:45:00,0.484
2025-01-07 02:46:00,0.494
2025-01-07 02:47:00,0.501
2025-01-07 02:48:00,0.504
2025-01-07 02:49:00,0.505
2025-01-07 02:50:00,0.517
2025-01-07 02:51:00,0.513
2025-01-07 02:52:00,0.512
2025-01-07 02:53:00,0.521
2025-01-07 02:54:00,0.522
2025-01-07 02:55:00,0.522
2025-01-07 02:56:00,0.499
2025-01-07 02:57:00,0.550
2025-01-07 02:58:00,0.480
2025-01-07 02:59:00,0.513
2025-01-07 03:00:00,0.546
2025-01-07 03:01:00,0.495
2025-01-07 03:02:00,0.532
2025-01-07 03:03:00,0.553
2025-01-07 03:04:00,0.521
2025-01-07 03:05:00,0.497
2025-01-07 03:06:00,0.432
2025-01-07 03:07:00,0.459
2025-01-07 03:08:00,0.476
2025-01-07 03:09:00,0.426
2025-01-07 03:10:00,0.322
2025-01-07 03:11:00,0.317
2025-01-07 03:12:00,0.322
2025-01-07 03:13:00,0.299
2025-01-07 03:14:00,0.179
2025-01-07 03:15:00,0.0394
2025-01-07 03:16:00,0.0399
2025-01-07 03:17:00,0.0402
2025-01-07 03:18:00,0.0415
2025-01-07 03:19:00,0.0378
2025-01-07 03:20:00,0.0381
2025-01-07 03:21:00,0.0396
2025-01-07 03:22:00,0.0392
2025-01-07 03:23:00,0.0353
2025-01-07 03:24:00,0.0410
2025-01-07 03:25:00,0.0398
2025-01-07 03:26:00,0.0400
2025-01-07 03:27:00,0.0405
2025-01-07 03:28:00,0.0369
2025-01-07 03:29:00,0.0369
2025-01-07 03:30:00,0.0392
2025-01-07 03:31:00,0.0439
2025-01-07 03:32:00,0.0367
2025-01-07 03:33:00,0.0347
2025-01-07 03:34:00,0.0397
2025-01-07 03:35:00,0.0349
2025-01-07 03:36:00,0.0398
2025-01-07 03:37:00,0.0370
2025-01-07 03:38:00,0.0414
2025-01-07 03:49:00,0.128
2025-01-07 03:50:00,0.211
2025-01-07 03:51:00,0.293
2025-01-07 03:52:00,0.321
2025-01-07 03:53:00,0.362
2025-01-07 03:54:00,0.396
2025-01-07 03:55:00,0.404
2025-01-07 03:56:00,0.407
2025-01-07 03:57:00,0.406
2025-01-07 03:58:00,0.409
2025-01-07 03:59:00,0.407
2025-01-07 04:00:00,0.411
2025-01-07 04:01:00,0.410
2025-01-07 04:02:00,0.411
2025-01-07 04:03:00,0.406
2025-01-07 04:04:00,0.416
2025-01-07 04:05:00,0.423
2025-01-07 04:06:00,0.435
2025-01-07 04:07:00,0.441
2025-01-07 04:08:00,0.446
2025-01-07 04:09:00,0.462
2025-01-07 04:10:00,0.447
2025-01-07 04:11:00,0.404
2025-01-07 04:12:00,0.338
2025-01-07 04:13:00,0.306
2025-01-07 04:14:00,0.272
2025-01-07 04:15:00,0.252
2025-01-07 04:16:00,0.267
2025-01-07 04:17:00,0.286
2025-01-07 04:18:00,0.279
2025-01-07 04:19:00,0.282
2025-01-07 04:20:00,0.237
2025-01-07 04:21:00,0.163
2025-01-07 04:22:00,0.0918
2025-01-07 04:23:00,0.0739
2025-01-07 04:24:00,0.0103
2025-01-07 04:25:00,0.0136
2025-01-07 04:26:00,0.0115
2025-01-07 04:27:00,0.0109
2025-01-07 04:28:00,0.0114
2025-01-07 04:29:00,0.0114
2025-01-07 04:30:00,0.0124
2025-01-07 04:31:00,0.0133
2025-01-07 04:32:00,0.0109
2025-01-07 04:33:00,0.0128
2025-01-07 04:34:00,0.0112
2025-01-07 04:35:00,0.0115
2025-01-07 04:36:00,0.0110
2025-01-07 04:37:00,0.0109
2025-01-07 04:38:00,0.0127
2025-01-07 04:39:00,0.0118
2025-01-07 04:40:00,0.0122
2025-01-07 04:41:00,0.0123
2025-01-07 04:42:00,0.0121
2025-01-07 04:43:00,0.0116
2025-01-07 04:44:00,0.0118
2025-01-07 04:45:00,0.0111
2025-01-07 04:46:00,0.0121
2025-01-07 04:47:00,0.0122
2025-01-07 04:48:00,0.0117
2025-01-07 04:49:00,0.0112
2025-01-07 04:50:00,0.0127
2025-01-07 04:51:00,0.0118
2025-01-07 04:52:00,0.0116
2025-01-07 04:53:00,0.0111
2025-01-07 04:54:00,0.0117
2025-01-07 04:55:00,0.0112
2025-01-07 04:56:00,0.0110
2025-01-07 04:57:00,0.0120
2025-01-07 04:58:00,0.0123
2025-01-07 04:59:00,0.0124
2025-01-07 05:00:00,0.0124
2025-01-07 05:01:00,0.0115
2025-01-07 05:02:00,0.0111
2025-01-07 05:03:00,0.0117
2025-01-07 05:04:00,0.0122
2025-01-07 05:05:00,0.0102
2025-01-07 05:06:00,0.0110
2025-01-07 05:07:00,0.0121
2025-01-07 05:08:00,0.0119
2025-01-07 05:09:00,0.0119
2025-01-07 05:10:00,0.0115
2025-01-07 05:11:00,0.0125
2025-01-07 05:12:00,0.0110
