starting with cluster address: emqx.dtwins:18083
cluster user set to: my-app and cluster password set to: AAA4A275-BEEC-4AF8-B70B-DAAC0341F8EB
kubernetes api address set to: someaddress:6443
max queue set to: 1000 and max inflight set to: 16
date: 2024-12-11 12:57:24.768178 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:57:34.787625 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:57:44.804865 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:57:54.825149 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:58:04.846515 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:58:14.866449 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:58:24.888543 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:58:34.912813 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:58:44.937399 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:58:54.962090 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:59:04.985757 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 12:59:15.009061 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 12:59:25.033290 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:59:35.059553 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:59:45.085825 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 12:59:55.111321 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:00:05.135680 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=3, avg=3.00, max=16
date: 2024-12-11 13:00:15.161405 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=5, avg=5.00, max=16
date: 2024-12-11 13:00:25.185752 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=4, avg=4.00, max=16
date: 2024-12-11 13:00:35.213670 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:00:45.239330 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:00:55.263829 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:01:05.289022 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:01:15.314596 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:01:25.339468 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:01:35.363842 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:01:45.387872 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=3, avg=3.00, max=16
date: 2024-12-11 13:01:55.416666 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:02:05.441660 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:02:15.466726 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:02:25.489462 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:02:35.514844 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=3, avg=3.00, max=16
date: 2024-12-11 13:02:45.544464 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=3, avg=3.00, max=16
date: 2024-12-11 13:02:55.572614 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:03:05.596968 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:03:15.618313 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:03:25.645686 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=3, avg=3.00, max=16
date: 2024-12-11 13:03:35.667661 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=3, avg=3.00, max=16
date: 2024-12-11 13:03:45.693880 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:03:55.720156 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:04:05.743300 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:04:15.770071 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:04:25.803206 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:04:35.832454 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=5, avg=5.00, max=16
date: 2024-12-11 13:04:45.857871 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=4, avg=4.00, max=16
date: 2024-12-11 13:04:55.883491 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:05:05.909901 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:05:15.936416 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:05:25.963045 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:05:35.986021 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:05:46.013492 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:05:56.041456 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:06:06.064825 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:06:16.090165 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:06:26.116156 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:06:36.142839 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:06:46.167585 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=3, avg=3.00, max=16
date: 2024-12-11 13:06:56.196078 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=4, avg=4.00, max=16
date: 2024-12-11 13:07:06.219626 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 13:07:16.244194 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:07:26.270784 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:07:36.292925 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:07:46.313730 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:07:56.333949 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:08:06.354918 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 13:08:16.373721 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:08:26.393141 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:08:36.413967 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:08:46.433028 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:08:56.452453 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:09:06.472244 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 13:09:16.490900 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
