starting with cluster address: emqx.dtwins:18083
cluster user set to: my-app and cluster password set to: AAA4A275-BEEC-4AF8-B70B-DAAC0341F8EB
kubernetes api address set to: someaddress:6443
max queue set to: 1000 and max inflight set to: 16
date: 2024-12-11 06:19:56.105527 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 06:20:06.132249 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 06:20:16.166631 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 06:20:26.209241 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 06:20:36.251266 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 06:20:46.292444 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 06:20:56.314228 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 06:21:06.334720 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 06:21:16.356107 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 06:21:26.382207 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 06:21:36.404387 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 06:21:46.428463 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 06:21:56.451318 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 06:22:06.473831 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 06:22:16.496827 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 06:22:26.519344 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 06:22:36.544080 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
