starting with cluster address: emqx.dtwins:18083
cluster user set to: my-app and cluster password set to: AAA4A275-BEEC-4AF8-B70B-DAAC0341F8EB
kubernetes api address set to: someaddress:6443
max queue set to: 1000 and max inflight set to: 32
date: 2024-12-12 21:48:20.623357 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 21:48:30.639645 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 21:48:40.658081 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 21:48:50.679866 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 21:49:00.704503 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 21:49:10.728379 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 21:49:20.760011 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 21:49:30.799620 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 21:49:40.850876 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=32
date: 2024-12-12 21:49:50.910819 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=7, avg=7.00, max=32
date: 2024-12-12 21:50:01.119403 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=4, avg=4.00, max=32
date: 2024-12-12 21:50:11.393751 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=7, avg=7.00, max=32
date: 2024-12-12 21:50:21.770846 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=7, avg=7.00, max=32
date: 2024-12-12 21:50:32.085617 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-12 21:50:42.449332 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-12 21:50:53.095666 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=18, avg=18.00, max=32
date: 2024-12-12 21:51:03.530742 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=28, avg=28.00, max=32
date: 2024-12-12 21:51:14.188942 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=28, avg=28.00, max=32
date: 2024-12-12 21:51:25.027145 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=29, avg=29.00, max=32
date: 2024-12-12 21:51:38.373251 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=37, avg=37.00, max=32
date: 2024-12-12 21:51:48.885804 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=42, avg=42.00, max=32
date: 2024-12-12 21:51:59.694384 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=46, avg=46.00, max=32
date: 2024-12-12 21:52:10.608390 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=46, avg=46.00, max=32
date: 2024-12-12 21:52:21.558514 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=47, avg=47.00, max=32
date: 2024-12-12 21:52:32.078206 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=49, avg=49.00, max=32
date: 2024-12-12 21:52:45.786510 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=44, avg=44.00, max=32
date: 2024-12-12 21:52:56.632126 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=36, avg=36.00, max=32
date: 2024-12-12 21:53:07.725717 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=56, avg=56.00, max=32
date: 2024-12-12 21:53:18.675959 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=45, avg=45.00, max=32
date: 2024-12-12 21:53:29.293373 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=42, avg=42.00, max=32
date: 2024-12-12 21:53:40.062596 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=41, avg=41.00, max=32
date: 2024-12-12 21:53:53.814491 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=47, avg=47.00, max=32
date: 2024-12-12 21:54:04.583281 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=44, avg=44.00, max=32
date: 2024-12-12 21:54:15.438494 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=43, avg=43.00, max=32
date: 2024-12-12 21:54:26.548569 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=45, avg=45.00, max=32
date: 2024-12-12 21:54:37.287352 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=47, avg=47.00, max=32
date: 2024-12-12 21:54:47.827826 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=45, avg=45.00, max=32
date: 2024-12-12 21:54:58.372115 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=39, avg=39.00, max=32
date: 2024-12-12 21:55:12.177122 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=38, avg=38.00, max=32
date: 2024-12-12 21:55:22.972815 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=47, avg=47.00, max=32
date: 2024-12-12 21:55:33.504601 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=40, avg=40.00, max=32
date: 2024-12-12 21:55:44.026411 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=37, avg=37.00, max=32
date: 2024-12-12 21:55:54.786653 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=32, avg=32.00, max=32
date: 2024-12-12 21:56:05.648611 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=40, avg=40.00, max=32
date: 2024-12-12 21:56:16.564721 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=53, avg=53.00, max=32
date: 2024-12-12 21:56:30.350971 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=46, avg=46.00, max=32
date: 2024-12-12 21:56:41.498345 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=50, avg=50.00, max=32
date: 2024-12-12 21:56:52.276977 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=56, avg=56.00, max=32
date: 2024-12-12 21:57:02.827048 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=47, avg=47.00, max=32
date: 2024-12-12 21:57:13.366187 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=30, avg=30.00, max=32
date: 2024-12-12 21:57:24.157885 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=46, avg=46.00, max=32
date: 2024-12-12 21:57:34.693427 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=44, avg=44.00, max=32
date: 2024-12-12 21:57:45.223696 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=27, avg=27.00, max=32
date: 2024-12-12 21:57:55.832572 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=31, avg=31.00, max=32
date: 2024-12-12 21:58:06.696116 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=46, avg=46.00, max=32
date: 2024-12-12 21:58:17.494764 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=50, avg=50.00, max=32
date: 2024-12-12 21:58:28.175783 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=47, avg=47.00, max=32
date: 2024-12-12 21:58:38.677669 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=38, avg=38.00, max=32
date: 2024-12-12 21:58:52.230456 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=28, avg=28.00, max=32
date: 2024-12-12 21:59:02.723805 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=28, avg=28.00, max=32
date: 2024-12-12 21:59:13.168608 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=30, avg=30.00, max=32
date: 2024-12-12 21:59:23.764670 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=33, avg=33.00, max=32
date: 2024-12-12 21:59:34.492756 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=19, avg=19.00, max=32
date: 2024-12-12 21:59:45.099017 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=27, avg=27.00, max=32
date: 2024-12-12 21:59:58.608985 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=28, avg=28.00, max=32
date: 2024-12-12 22:00:09.139420 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=18, avg=18.00, max=32
date: 2024-12-12 22:00:19.584946 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=23, avg=23.00, max=32
date: 2024-12-12 22:00:30.051237 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=24, avg=24.00, max=32
date: 2024-12-12 22:00:40.506248 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 22:00:50.946657 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 22:01:01.306039 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 22:01:11.625181 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 22:01:22.050802 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 22:01:32.357099 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 22:01:42.760367 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 22:01:53.065646 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 22:02:03.463372 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 22:02:16.267570 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=10, avg=10.00, max=32
date: 2024-12-12 22:02:26.615045 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=10, avg=10.00, max=32
date: 2024-12-12 22:02:36.942941 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-12 22:02:47.353613 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 22:02:57.658785 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=9, avg=9.00, max=32
date: 2024-12-12 22:03:07.964841 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=8, avg=8.00, max=32
date: 2024-12-12 22:03:21.366325 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 22:03:31.704568 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-12 22:03:42.014979 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 22:03:52.331734 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 22:04:02.650890 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 22:04:13.051798 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 22:04:23.559436 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=9, avg=9.00, max=32
date: 2024-12-12 22:04:33.875029 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=8, avg=8.00, max=32
date: 2024-12-12 22:04:44.278692 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=13, avg=13.00, max=32
date: 2024-12-12 22:04:54.578659 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 22:05:04.884476 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=10, avg=10.00, max=32
date: 2024-12-12 22:05:15.309684 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 22:05:25.749853 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 22:05:36.430569 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 22:05:46.869532 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=9, avg=9.00, max=32
