starting with cluster address: emqx.dtwins:18083
cluster user set to: my-app and cluster password set to: AAA4A275-BEEC-4AF8-B70B-DAAC0341F8EB
kubernetes api address set to: someaddress:6443
max queue set to: 1000 and max inflight set to: 32
date: 2024-12-12 18:03:18.635757 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:03:28.653197 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:03:38.670460 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:03:48.692418 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:03:58.716367 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:04:08.749824 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:04:18.782670 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:04:28.822134 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=32
date: 2024-12-12 18:04:38.874642 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=32
date: 2024-12-12 18:04:48.959056 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=3, avg=3.00, max=32
date: 2024-12-12 18:04:59.088893 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=6, avg=6.00, max=32
date: 2024-12-12 18:05:09.524274 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=7, avg=7.00, max=32
date: 2024-12-12 18:05:19.971747 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:05:30.510542 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=18, avg=18.00, max=32
date: 2024-12-12 18:05:41.121696 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=22, avg=22.00, max=32
date: 2024-12-12 18:05:51.632989 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=24, avg=24.00, max=32
date: 2024-12-12 18:06:02.150609 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=18, avg=18.00, max=32
date: 2024-12-12 18:06:12.772571 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=27, avg=27.00, max=32
date: 2024-12-12 18:06:23.397460 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=28, avg=28.00, max=32
date: 2024-12-12 18:06:37.023285 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=31, avg=31.00, max=32
date: 2024-12-12 18:06:48.804952 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=92, avg=92.00, max=32
date: 2024-12-12 18:06:59.718463 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=88, avg=88.00, max=32
date: 2024-12-12 18:07:10.737474 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=55, avg=55.00, max=32
date: 2024-12-12 18:07:21.447861 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=48, avg=48.00, max=32
date: 2024-12-12 18:07:32.107594 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=33, avg=33.00, max=32
date: 2024-12-12 18:07:45.742141 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=44, avg=44.00, max=32
date: 2024-12-12 18:07:56.460622 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=42, avg=42.00, max=32
date: 2024-12-12 18:08:07.413922 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=52, avg=52.00, max=32
date: 2024-12-12 18:08:18.053403 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=56, avg=56.00, max=32
date: 2024-12-12 18:08:28.828860 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=44, avg=44.00, max=32
date: 2024-12-12 18:08:39.459201 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=43, avg=43.00, max=32
date: 2024-12-12 18:08:53.169927 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=47, avg=47.00, max=32
date: 2024-12-12 18:09:04.832637 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=42, avg=42.00, max=32
date: 2024-12-12 18:09:15.883638 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=49, avg=49.00, max=32
date: 2024-12-12 18:09:26.983239 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=43, avg=43.00, max=32
date: 2024-12-12 18:09:37.915817 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=46, avg=46.00, max=32
date: 2024-12-12 18:09:48.609916 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=50, avg=50.00, max=32
date: 2024-12-12 18:09:59.534985 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=44, avg=44.00, max=32
date: 2024-12-12 18:10:13.480474 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=55, avg=55.00, max=32
date: 2024-12-12 18:10:24.135805 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=42, avg=42.00, max=32
date: 2024-12-12 18:10:34.752755 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=37, avg=37.00, max=32
date: 2024-12-12 18:10:45.485794 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=35, avg=35.00, max=32
date: 2024-12-12 18:10:56.489993 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=48, avg=48.00, max=32
