starting with cluster address: emqx.dtwins:18083
cluster user set to: my-app and cluster password set to: AAA4A275-BEEC-4AF8-B70B-DAAC0341F8EB
kubernetes api address set to: someaddress:6443
max queue set to: 1000 and max inflight set to: 32
date: 2024-12-13 01:12:00.577563 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-13 01:12:10.607380 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-13 01:12:20.646477 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-13 01:12:30.694911 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-13 01:12:40.754636 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-13 01:12:50.821173 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-13 01:13:00.907438 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=32
date: 2024-12-13 01:13:11.019588 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=8, avg=8.00, max=32
date: 2024-12-13 01:13:21.251949 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-13 01:13:31.560052 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=19, avg=19.00, max=32
date: 2024-12-13 01:13:41.925487 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-13 01:13:52.361862 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=18, avg=18.00, max=32
date: 2024-12-13 01:14:02.915591 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=24, avg=24.00, max=32
date: 2024-12-13 01:14:14.813203 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=30, avg=30.00, max=32
date: 2024-12-13 01:14:25.522802 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=40, avg=40.00, max=32
date: 2024-12-13 01:14:36.627963 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=43, avg=43.00, max=32
date: 2024-12-13 01:14:47.471342 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=53, avg=53.00, max=32
date: 2024-12-13 01:14:58.554256 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=59, avg=59.00, max=32
date: 2024-12-13 01:15:09.815599 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=52, avg=52.00, max=32
date: 2024-12-13 01:15:24.286653 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=65, avg=65.00, max=32
date: 2024-12-13 01:15:38.782494 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=80, avg=80.00, max=32
date: 2024-12-13 01:15:50.567643 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=72, avg=72.00, max=32
date: 2024-12-13 01:16:01.620616 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=65, avg=65.00, max=32
date: 2024-12-13 01:16:13.009644 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=63, avg=63.00, max=32
date: 2024-12-13 01:16:24.179214 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=60, avg=60.00, max=32
date: 2024-12-13 01:16:35.689202 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=63, avg=63.00, max=32
date: 2024-12-13 01:16:47.153755 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=71, avg=71.00, max=32
date: 2024-12-13 01:17:01.550290 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=72, avg=72.00, max=32
date: 2024-12-13 01:17:16.022849 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=65, avg=65.00, max=32
date: 2024-12-13 01:17:27.704962 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=74, avg=74.00, max=32
date: 2024-12-13 01:17:38.761129 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=58, avg=58.00, max=32
date: 2024-12-13 01:17:49.800708 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=47, avg=47.00, max=32
date: 2024-12-13 01:18:01.431205 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=52, avg=52.00, max=32
date: 2024-12-13 01:18:12.924331 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=59, avg=59.00, max=32
date: 2024-12-13 01:18:27.033759 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=64, avg=64.00, max=32
date: 2024-12-13 01:18:41.488234 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=72, avg=72.00, max=32
date: 2024-12-13 01:18:52.975296 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=69, avg=69.00, max=32
date: 2024-12-13 01:19:04.080317 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=68, avg=68.00, max=32
date: 2024-12-13 01:19:15.134824 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=62, avg=62.00, max=32
date: 2024-12-13 01:19:26.888873 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=53, avg=53.00, max=32
